## This file was originally clean_edetecttb_11oct_withregion.csv. 
## Any edits are listed below. 
## Alterations: 
## Settlment -> Settlement
sex,age_grps,year,n_screened,country,visa_type,region
Male,0-4,2014,1,Afghanistan,UK Family Reunification,Other_Asia
Male,0-4,2015,10,Afghanistan,UK Family Reunification,Other_Asia
Male,0-4,2016,23,Afghanistan,UK Family Reunification,Other_Asia
Male,0-4,2017,55,Afghanistan,UK Family Reunification,Other_Asia
Male,0-4,2018,70,Afghanistan,UK Family Reunification,Other_Asia
Male,5-9,2014,6,Afghanistan,UK Family Reunification,Other_Asia
Male,5-9,2015,11,Afghanistan,UK Family Reunification,Other_Asia
Male,5-9,2016,10,Afghanistan,UK Family Reunification,Other_Asia
Male,5-9,2017,35,Afghanistan,UK Family Reunification,Other_Asia
Male,5-9,2018,50,Afghanistan,UK Family Reunification,Other_Asia
Male,10-14,2014,3,Afghanistan,UK Family Reunification,Other_Asia
Male,10-14,2015,10,Afghanistan,UK Family Reunification,Other_Asia
Male,10-14,2016,19,Afghanistan,UK Family Reunification,Other_Asia
Male,10-14,2017,34,Afghanistan,UK Family Reunification,Other_Asia
Male,10-14,2018,32,Afghanistan,UK Family Reunification,Other_Asia
Male,15-19,2014,1,Afghanistan,UK Family Reunification,Other_Asia
Male,15-19,2015,12,Afghanistan,UK Family Reunification,Other_Asia
Male,15-19,2016,23,Afghanistan,UK Family Reunification,Other_Asia
Male,15-19,2017,29,Afghanistan,UK Family Reunification,Other_Asia
Male,15-19,2018,28,Afghanistan,UK Family Reunification,Other_Asia
Male,20-24,2014,1,Afghanistan,UK Family Reunification,Other_Asia
Male,20-24,2015,14,Afghanistan,UK Family Reunification,Other_Asia
Male,20-24,2016,30,Afghanistan,UK Family Reunification,Other_Asia
Male,20-24,2017,42,Afghanistan,UK Family Reunification,Other_Asia
Male,20-24,2018,21,Afghanistan,UK Family Reunification,Other_Asia
Male,25-29,2014,5,Afghanistan,UK Family Reunification,Other_Asia
Male,25-29,2015,26,Afghanistan,UK Family Reunification,Other_Asia
Male,25-29,2016,36,Afghanistan,UK Family Reunification,Other_Asia
Male,25-29,2017,70,Afghanistan,UK Family Reunification,Other_Asia
Male,25-29,2018,55,Afghanistan,UK Family Reunification,Other_Asia
Male,30-34,2014,1,Afghanistan,UK Family Reunification,Other_Asia
Male,30-34,2015,7,Afghanistan,UK Family Reunification,Other_Asia
Male,30-34,2016,10,Afghanistan,UK Family Reunification,Other_Asia
Male,30-34,2017,22,Afghanistan,UK Family Reunification,Other_Asia
Male,30-34,2018,34,Afghanistan,UK Family Reunification,Other_Asia
Male,35-39,2014,0,Afghanistan,UK Family Reunification,Other_Asia
Male,35-39,2015,2,Afghanistan,UK Family Reunification,Other_Asia
Male,35-39,2016,1,Afghanistan,UK Family Reunification,Other_Asia
Male,35-39,2017,3,Afghanistan,UK Family Reunification,Other_Asia
Male,35-39,2018,3,Afghanistan,UK Family Reunification,Other_Asia
Male,40-44,2014,0,Afghanistan,UK Family Reunification,Other_Asia
Male,40-44,2015,0,Afghanistan,UK Family Reunification,Other_Asia
